x,z
-4.329239999999999782e+02,-3.218139999999999645e+02
-4.329239999999999782e+02,-3.168139999999999645e+02
-4.329239999999999782e+02,-3.118139999999999645e+02
-4.329239999999999782e+02,-3.068139999999999645e+02
-4.279239999999999782e+02,-5.468139999999999645e+02
-4.279239999999999782e+02,-5.418139999999999645e+02
-4.279239999999999782e+02,-5.368139999999999645e+02
-4.279239999999999782e+02,-5.318139999999999645e+02
-4.279239999999999782e+02,-5.268139999999999645e+02
-4.279239999999999782e+02,-5.218139999999999645e+02
-4.279239999999999782e+02,-5.168139999999999645e+02
-4.279239999999999782e+02,-5.118139999999999645e+02
-4.279239999999999782e+02,-5.068139999999999645e+02
-4.279239999999999782e+02,-5.018139999999999645e+02
-4.279239999999999782e+02,-4.968139999999999645e+02
-4.279239999999999782e+02,-4.918139999999999645e+02
-4.279239999999999782e+02,-3.668139999999999645e+02
-4.279239999999999782e+02,-3.618139999999999645e+02
-4.279239999999999782e+02,-3.568139999999999645e+02
-4.279239999999999782e+02,-3.518139999999999645e+02
-4.279239999999999782e+02,-3.468139999999999645e+02
-4.279239999999999782e+02,-3.418139999999999645e+02
-4.279239999999999782e+02,-3.368139999999999645e+02
-4.279239999999999782e+02,-3.318139999999999645e+02
-4.279239999999999782e+02,-3.268139999999999645e+02
-4.279239999999999782e+02,-3.218139999999999645e+02
-4.279239999999999782e+02,-3.168139999999999645e+02
-4.279239999999999782e+02,-3.118139999999999645e+02
-4.279239999999999782e+02,-3.068139999999999645e+02
-4.279239999999999782e+02,-3.018139999999999645e+02
-4.229239999999999782e+02,-5.518139999999999645e+02
-4.229239999999999782e+02,-5.468139999999999645e+02
-4.229239999999999782e+02,-5.418139999999999645e+02
-4.229239999999999782e+02,-5.368139999999999645e+02
-4.229239999999999782e+02,-5.318139999999999645e+02
-4.229239999999999782e+02,-5.268139999999999645e+02
-4.229239999999999782e+02,-5.218139999999999645e+02
-4.229239999999999782e+02,-5.168139999999999645e+02
-4.229239999999999782e+02,-5.118139999999999645e+02
-4.229239999999999782e+02,-5.068139999999999645e+02
-4.229239999999999782e+02,-5.018139999999999645e+02
-4.229239999999999782e+02,-3.618139999999999645e+02
-4.229239999999999782e+02,-3.568139999999999645e+02
-4.229239999999999782e+02,-3.518139999999999645e+02
-4.229239999999999782e+02,-3.468139999999999645e+02
-4.229239999999999782e+02,-3.418139999999999645e+02
-4.229239999999999782e+02,-3.368139999999999645e+02
-4.229239999999999782e+02,-3.318139999999999645e+02
-4.229239999999999782e+02,-3.268139999999999645e+02
-4.229239999999999782e+02,-3.218139999999999645e+02
-4.229239999999999782e+02,-3.168139999999999645e+02
-4.229239999999999782e+02,-3.118139999999999645e+02
-4.229239999999999782e+02,-3.068139999999999645e+02
-4.229239999999999782e+02,-3.018139999999999645e+02
-4.229239999999999782e+02,-2.968139999999999645e+02
-4.179239999999999782e+02,-5.518139999999999645e+02
-4.179239999999999782e+02,-5.468139999999999645e+02
-4.179239999999999782e+02,-5.418139999999999645e+02
-4.179239999999999782e+02,-5.368139999999999645e+02
-4.179239999999999782e+02,-5.318139999999999645e+02
-4.179239999999999782e+02,-5.268139999999999645e+02
-4.179239999999999782e+02,-5.218139999999999645e+02
-4.179239999999999782e+02,-5.168139999999999645e+02
-4.179239999999999782e+02,-5.118139999999999645e+02
-4.179239999999999782e+02,-5.068139999999999645e+02
-4.179239999999999782e+02,-3.518139999999999645e+02
-4.179239999999999782e+02,-3.468139999999999645e+02
-4.179239999999999782e+02,-3.418139999999999645e+02
-4.179239999999999782e+02,-3.368139999999999645e+02
-4.179239999999999782e+02,-3.318139999999999645e+02
-4.179239999999999782e+02,-3.268139999999999645e+02
-4.179239999999999782e+02,-3.218139999999999645e+02
-4.179239999999999782e+02,-3.168139999999999645e+02
-4.179239999999999782e+02,-3.118139999999999645e+02
-4.179239999999999782e+02,-3.068139999999999645e+02
-4.179239999999999782e+02,-3.018139999999999645e+02
-4.179239999999999782e+02,-2.968139999999999645e+02
-4.179239999999999782e+02,-2.918139999999999645e+02
-4.179239999999999782e+02,-2.868139999999999645e+02
-4.129239999999999782e+02,-5.568139999999999645e+02
-4.129239999999999782e+02,-5.518139999999999645e+02
-4.129239999999999782e+02,-5.468139999999999645e+02
-4.129239999999999782e+02,-5.418139999999999645e+02
-4.129239999999999782e+02,-5.368139999999999645e+02
-4.129239999999999782e+02,-5.318139999999999645e+02
-4.129239999999999782e+02,-5.268139999999999645e+02
-4.129239999999999782e+02,-5.218139999999999645e+02
-4.129239999999999782e+02,-5.168139999999999645e+02
-4.129239999999999782e+02,-5.118139999999999645e+02
-4.129239999999999782e+02,-3.468139999999999645e+02
-4.129239999999999782e+02,-3.418139999999999645e+02
-4.129239999999999782e+02,-3.368139999999999645e+02
-4.129239999999999782e+02,-3.318139999999999645e+02
-4.129239999999999782e+02,-3.268139999999999645e+02
-4.129239999999999782e+02,-3.218139999999999645e+02
-4.129239999999999782e+02,-3.168139999999999645e+02
-4.129239999999999782e+02,-3.118139999999999645e+02
-4.129239999999999782e+02,-3.068139999999999645e+02
-4.129239999999999782e+02,-3.018139999999999645e+02
